feature,IG-value
Pos.5,0.020
Pos.22,0.019
Pos.21,0.012
Pos.1,0.012
Pos.6,0.010
Pos.66,0.009
Pos.65,0.008
Pos.2,0.007
Pos.18,0.004
Pos.17,0.002
Pos.61,0.000
Pos.16,0.000
Pos.26,0.000
Pos.55,0.000
Pos.4,0.000
Pos.12,0.000
Pos.47,0.000
Pos.42,0.000
Pos.41,0.000
Pos.40,0.000
Pos.8,0.000
Pos.3,0.000
Pos.43,0.000
Pos.37,0.000
Pos.32,0.000
Pos.13,0.000
Pos.25,0.000
Pos.36,0.000
Pos.19,0.000
Pos.63,0.000
Pos.62,0.000
Pos.54,0.000
Pos.9,0.000
Pos.51,0.000
Pos.57,0.000
Pos.44,0.000
Pos.20,0.000
Pos.29,0.000
Pos.10,0.000
Pos.60,0.000
Pos.38,0.000
Pos.39,0.000
Pos.34,0.000
Pos.49,0.000
Pos.45,0.000
Pos.46,0.000
Pos.64,0.000
Pos.11,0.000
Pos.23,0.000
Pos.28,0.000
Pos.50,0.000
Pos.58,0.000
Pos.56,0.000
Pos.15,0.000
Pos.52,0.000
Pos.48,0.000
Pos.53,0.000
Pos.27,0.000
Pos.24,0.000
Pos.30,0.000
Pos.31,0.000
Pos.14,0.000
Pos.7,0.000
Pos.59,0.000
Pos.35,0.000
Pos.33,0.000
